roof surface gmlid; deviations geometry; mean distance to roof; 90th percentile distance to roof; building gmlid 
RCID_db14a169-8623-489d-bede-b1315472fd77;POLYGON Z ((90932.57889940897 433460.4824063939 18.4477751856647, 90932.41854321079 433460.2592302418 18.45429193803617, 90932.14514191808 433460.3599926342 18.45391845029265, 90932.07656382622 433460.3852671768 18.45382476720676, 90931.75232606135 433460.5047654153 18.45338183283011, 90931.56649024809 433460.5732554394 18.45312796644246, 90931.40359484688 433460.6332907457 18.45290543846818, 90931.31746335256 433460.6650346169 18.45278777604917, 90930.7272159406 433460.8825710475 18.45198145150027, 90930.13644408378 433461.1003007629 18.4511744105183, 90929.81438114101 433461.218997468 18.45073444712024, 90929.47709965518 433461.3433029864 18.45027369399129, 90929.31813862552 433461.401888275 18.45005654067909, 90928.90224719532 433461.5551655879 18.449488400162, 90928.45980483024 433461.7182282814 18.44888398897236, 90927.6481362737 433462.017369755 18.4477751856647, 90928.48355961118 433461.7678973689 18.44843209625233, 90928.93261081853 433461.6338026277 18.44878519447124, 90929.29560497467 433461.5254060649 18.44907062425721, 90929.52664400365 433461.4564136687 18.44925229500722, 90929.84271131601 433461.3620303027 18.44950082524882, 90930.2037789521 433461.2542090333 18.44978474017236, 90930.81581251485 433461.0714448388 18.45026599477625, 90931.22731602109 433460.9485625144 18.45058956846394, 90931.55977483848 433460.8492843512 18.45085098768374, 90931.77356471882 433460.78544286 18.45101909507269, 90931.81540364239 433460.7729490073 18.45105199388056, 90932.19749293622 433460.6588502941 18.45135243856683, 90932.59354935549 433460.5405807467 18.45166386589169, 90932.57889940897 433460.4824063939 18.4477751856647));-0.05282914195240423;0.06137405150204871;ID_0599100000750379
RCID_db14a169-8623-489d-bede-b1315472fd77;POLYGON Z ((90944.25623131631 433456.1607448445 18.46799633083985, 90944.19399765102 433456.082342629 18.46799633083985, 90943.8440447227 433456.0483472017 18.46990007483766, 90943.75939845381 433456.0795436912 18.4697844413538, 90943.59300852461 433456.1408669101 18.46955713957852, 90943.55290333249 433456.1556477295 18.46950235272083, 90943.09873098983 433456.323033521 18.46888191745609, 90942.85465717439 433456.4129872346 18.46854849336111, 90942.67016810867 433456.4809809132 18.46829646673688, 90942.67330516783 433456.4967074861 18.46799633083985, 90942.57723818302 433456.8081974066 18.46799633083985, 90942.33763384068 433456.7667951857 18.46799633083985, 90942.23276326164 433456.9351124651 18.46799633083985, 90942.16564716357 433456.9407709651 18.46799633083985, 90941.91635837762 433457.066754357 18.46799633083985, 90941.72757014306 433456.8283765862 18.4670088035231, 90941.45076767771 433456.9303924851 18.46663066950932, 90941.44400291902 433457.0125359835 18.44620507980345, 90941.3473593564 433457.1155429082 18.44620507980345, 90941.15007916307 433457.2378420687 18.45165289256255, 90941.06737375038 433457.0716928021 18.46610692314594, 90940.76035870564 433457.1848435854 18.46568751636424, 90940.50470702985 433457.279064334 18.46533827599827, 90940.35868845052 433457.3328796662 18.46513880309467, 90940.0371942901 433457.4513667458 18.46469961669822, 90939.80291540999 433457.5377105235 18.46437957325798, 90939.67099960556 433457.5863282602 18.46419936585791, 90939.53771956686 433457.6354487871 18.46401729480615, 90939.21023658791 433457.7561430534 18.46356992721094, 90939.05572976399 433457.8130867389 18.46335885869531, 90938.86363277659 433457.8838843267 18.46309643904962, 90938.37528858428 433458.0638641967 18.46242932234128, 90938.06011108505 433458.1800232629 18.46199876500255, 90937.8824010891 433458.2455185067 18.46175599912265, 90937.75886658792 433458.5143144972 18.44620507980345, 90937.74527029796 433458.5297535078 18.44620507980345, 90937.61498600763 433458.611889256 18.44620507980345, 90937.64137353133 433458.8502015799 18.44620507980345, 90937.31162688712 433458.8765111526 18.44620507980345, 90937.30474358975 433458.8419111111 18.44620507980345, 90937.05165104168 433458.6225642361 18.44620507980345, 90937.00783021674 433458.5678427084 18.46056126628715, 90936.80856119758 433458.6412835576 18.46028904908004, 90936.70755817009 433458.6785083512 18.46015107097302, 90936.50829663186 433458.9829357014 18.44620507980345, 90936.51980956466 433459.0403564537 18.44620507980345, 90936.22044697791 433459.2819679903 18.44620507980345, 90936.20803501736 433459.3255348048 18.44620507980345, 90936.24553201169 433459.4500332523 18.45453549511853, 90936.57048054121 433459.3529977957 18.4547910088442, 90936.82253624147 433459.2777294447 18.45498920543598, 90937.26472540692 433459.1456838322 18.45533690788991, 90937.75989670487 433458.9978168051 18.45572627128656, 90937.93559082404 433458.9453513913 18.45586442319336, 90938.02086660935 433458.919886513 18.45593147730082, 90938.47067478389 433458.7855657279 18.45628517073862, 90938.66062995393 433458.7288417085 18.45643453640364, 90938.8432435384 433458.6743100183 18.45657812922862, 90939.17270736206 433458.5759262139 18.45683719342313, 90939.46079886102 433458.4898969273 18.45706372570609, 90939.58979759477 433458.4513755927 18.45716516006899, 90939.64085382757 433458.4361292862 18.45720530663707, 90939.99934991499 433458.3290759274 18.4574871994989, 90940.29907841388 433458.239571624 18.45772288219474, 90940.46920816533 433458.1887678301 18.45785665872453, 90940.81328808781 433458.0860193965 18.45812721585878, 90940.91941172193 433458.0543289768 18.4582106630594, 90941.1652594371 433457.9809144415 18.45840397818455, 90941.65122337297 433457.8357968978 18.45878610164263, 90941.93734817689 433457.7503549017 18.45901108747274, 90942.36194795844 433457.6235617946 18.45934495903163, 90942.49640298182 433457.5834111141 18.4594506837875, 90942.72237554348 433457.5159316559 18.45962837066984, 90943.09361860232 433457.4050718229 18.459920286738, 90943.24856494615 433457.3588020667 18.46004212424147, 90943.48738838766 433457.2874851054 18.46022991603548, 90943.82074990403 433457.18793738 18.4604920450661, 90944.06501919527 433457.1149941904 18.46068411904399, 90944.56557350297 433456.9655197001 18.46107771521214, 90944.88119888338 433456.8712683029 18.46132589795353, 90945.05282338557 433456.8200181497 18.46146084983663, 90945.33807619897 433456.7348365455 18.46168515000262, 90945.5470923586 433456.672420573 18.46184950371658, 90945.80735794266 433456.5947006035 18.46205415590919, 90945.91355044277 433456.5629896192 18.46213765726056, 90946.091 433456.51 18.4622771895045, 90946.16168523915 433456.6227676147 18.46122294631654, 90946.25920343185 433456.7783431509 18.45976849993434, 90946.41988615041 433457.0346881406 18.45737197891379, 90946.55919078765 433457.2569276329 18.4552943037632, 90946.6597525812 433457.4173587742 18.45379446324378, 90946.83540791892 433457.6975903145 18.45117463136034, 90947.00685385292 433457.9711063875 18.44861758111598, 90947.05947809461 433458.0550604108 18.44783271076653, 90947.25411237532 433458.3655699859 18.44492981523923, 90947.4644252232 433458.7010923451 18.44179307990547, 90947.66477588845 433459.0207215478 18.43880492669834, 90947.80720350516 433459.2479432817 18.43668067350926, 90947.89419455022 433459.3867243451 18.43538323548996, 90948.07217009336 433459.6706574225 18.43272879863362, 90948.07223460954 433459.6706271642 18.44620507980345, 90948.29404904378 433459.5282277744 18.43353478645204, 90948.1692022254 433459.1884896459 18.43656211433422, 90948.10454171199 433459.0125328846 18.43813002433561, 90948.00643929969 433458.7455726978 18.44050884481265, 90947.92823782838 433458.5327677433 18.44240510054135, 90947.83128802598 433458.2689440844 18.4447559721442, 90947.74904478659 433458.0451405098 18.44675023403196, 90947.7174385823 433457.9591324494 18.44751663196494, 90947.71550157366 433457.9538613844 18.44756360120539, 90947.59926950476 433457.6375660549 18.45038203572851, 90947.53577730709 433457.4647885609 18.45192161601455, 90947.44181452936 433457.2090933123 18.45420005723258, 90947.32962855812 433456.9038083847 18.45692038061073, 90947.25460943033 433456.69966335 18.4587394697973, 90947.0665222949 433456.187833155 18.46330027027896, 90946.9032240673 433455.7434595221 18.46725998093904, 90946.71296130696 433455.9859512754 18.46799633083985, 90946.58339616223 433455.9280951417 18.46799633083985, 90946.51884444774 433455.970551974 18.46799633083985, 90946.2247721195 433455.7333968705 18.46799633083985, 90946.16932725016 433455.7577682417 18.46799633083985, 90946.11879119222 433455.6942301883 18.46799633083985, 90946.04240931677 433455.4452043478 18.46799633083985, 90945.87705158567 433455.4343865524 18.4598246117012, 90945.835615872 433455.3143511344 18.47262071820862, 90945.50990469029 433455.4343924026 18.47217577102826, 90945.20569647604 433455.5465087249 18.47176019859853, 90944.97523569998 433455.6314453356 18.47144537098974, 90944.98276419856 433455.6696255784 18.46799633083985, 90944.97635396187 433455.909208175 18.46799633083985, 90944.65912206961 433455.9655390718 18.46799633083985, 90944.63384459955 433456.0428475386 18.46799633083985, 90944.5085 433456.0869059946 18.46799633083985, 90944.42742523555 433456.0851386972 18.46799633083985, 90944.25623131631 433456.1607448445 18.46799633083985), (90938.20530652272 433458.4441328779 18.44620507980345, 90938.40130507274 433458.1060159112 18.44620507980345, 90938.46317775571 433458.1844235352 18.45165289256255, 90938.51632654882 433458.3671225116 18.44620507980345, 90938.49706638056 433458.3927754165 18.44620507980345, 90938.39094358393 433458.4713435221 18.44620507980345, 90938.20530652272 433458.4441328779 18.44620507980345));-0.018227562322151645;0.04624057552227714;ID_0599100000750379
RCID_db14a169-8623-489d-bede-b1315472fd77;POLYGON Z ((90936.36009373453 433458.8065668086 18.45967640713107, 90936.40654931725 433458.9016286955 18.45165289256255, 90936.50829663186 433458.9829357014 18.45165289256255, 90936.70755817009 433458.6785083512 18.46015107097302, 90936.36009373453 433458.8065668086 18.45967640713107));-0.7186873104301538;-0.7186873104301538;ID_0599100000750379
RCID_db14a169-8623-489d-bede-b1315472fd77;POLYGON Z ((90937.66521932327 433458.3255611214 18.46145931168985, 90937.75886658792 433458.5143144972 18.4529454615285, 90937.8824010891 433458.2455185067 18.46175599912265, 90937.66521932327 433458.3255611214 18.46145931168985));-0.7034106552518475;-0.7034106552518475;ID_0599100000750379
RCID_db14a169-8623-489d-bede-b1315472fd77;POLYGON Z ((90941.06737375038 433457.0716928021 18.46610692314594, 90941.15007916307 433457.2378420687 18.45165289256255, 90941.3473593564 433457.1155429082 18.45165289256255, 90941.44400291902 433457.0125359835 18.45165289256255, 90941.45076767771 433456.9303924851 18.46663066950932, 90941.06737375038 433457.0716928021 18.46610692314594));-0.7162687002443173;-0.7162687002443173;ID_0599100000750379
RCID_a18e2a23-465a-4c3f-9dc4-9ee8d84c1e26;POLYGON Z ((90920.88832660763 433459.3503258645 8.055981674178479, 90920.84600000001 433459.345 8.055981674178479, 90920.542 433459.357 8.055981674178479, 90920.245 433459.419 8.055981674178479, 90920.29001264634 433459.536868879 8.055981674178479, 90920.43211657296 433459.9089783169 8.055981674178479, 90920.62271965016 433460.408086298 8.055981674178479, 90920.69992342719 433460.6102499874 8.055981674178479, 90920.8328948343 433460.9584452607 8.055981674178479, 90921.00097982473 433461.3985879985 8.055981674178479, 90921.06964066475 433461.3821987925 8.055981674178479, 90921.29557668713 433461.5715863407 8.055981674178481, 90921.15232359362 433461.7948926335 8.055981674178479, 90921.2019676668 433461.9248892396 8.055981674178479, 90921.37707457333 433462.3834193739 8.055981674178479, 90921.548 433462.831 8.055981674178479, 90921.811 433462.679 8.055981674178479, 90922.046 433462.486 8.055981674178479, 90922.15733960779 433462.3573160312 8.055981674178479, 90922.245 433462.256 8.055981674178479, 90922.40399999999 433461.997 8.055981674178479, 90922.51181167476 433461.727947856 8.055981674178479, 90922.51700000001 433461.715 8.055981674178479, 90922.57298906401 433461.459173046 8.055981674178479, 90922.58199999999 433461.418 8.055981674178479, 90922.598 433461.115 8.055981674178479, 90922.59141242474 433461.0581586364 8.055981674178479, 90922.56299999999 433460.813 8.055981674178479, 90922.55165570331 433460.7740290044 8.055981674178479, 90922.478 433460.521 8.055981674178479, 90922.34699999999 433460.247 8.055981674178479, 90922.25045434362 433460.1101810127 8.055981674178479, 90922.22790942507 433460.0782316424 8.055981674178479, 90922.17200000001 433459.999 8.055981674178479, 90921.958 433459.783 8.055981674178479, 90921.73907518113 433459.6252323167 8.055981674178479, 90921.711 433459.605 8.055981674178479, 90921.439 433459.47 8.055981674178479, 90921.22170263712 433459.405034809 8.055981674178479, 90921.148 433459.383 8.055981674178479, 90920.88832660763 433459.3503258645 8.055981674178479));-0.4064644327991688;-0.4841816741784795;ID_0599100000750379
RCID_a18e2a23-465a-4c3f-9dc4-9ee8d84c1e26;POLYGON Z ((90921.15232359362 433461.7948926335 8.055981674178479, 90921.29557668713 433461.5715863407 8.055981674178479, 90921.06964066475 433461.3821987925 8.055981674178479, 90921.00097982473 433461.3985879985 8.055981674178479, 90921.15232359362 433461.7948926335 8.055981674178479));9.997018325821522;9.997018325821522;ID_0599100000750379
