building gmlid; roof surface gmlid; apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
ID_0599100000658069;RCID_833a6434-f17a-4c4c-8b67-12f66c5eccec;south;6696;796;LINESTRING (92273.7484873482 432095.2645440621, 92271.39559210317 432095.6225964206, 92269.39941644666 432095.8688157141, 92269.75656816518 432092.2840709656, 92271.75275320417 432092.0377364607, 92274.10560190414 432091.6795232717, 92273.7484873482 432095.2645440621);15.374955607618393;0.006871985660988818;1.0
ID_0599100000658069;RCID_833a6434-f17a-4c4c-8b67-12f66c5eccec;south;6697;797;LINESTRING (92269.75656816518 432092.2840709656, 92267.76038781916 432092.5303476949, 92265.40856630722 432092.8306888537, 92265.76653511586 432089.2419556289, 92268.1179548717 432088.9414346042, 92270.11414465168 432088.6950421133, 92269.75656816518 432092.2840709656);15.408233921634642;0.150931208509611;1.0
ID_0599100000658094;RCID_d6f35383-daad-4bac-81b4-11c7d0860774;south;6697;800;LINESTRING (92270.8309275778 432081.4858650726, 92268.83473305465 432081.7323156074, 92266.48351376699 432082.0329267184, 92266.84163306841 432078.442686049, 92269.19245057664 432078.1418935457, 92271.18865465996 432077.8953259659, 92270.8309275778 432081.4858650726);15.41244143465618;0.0012482384894635984;1.0
ID_0599100000658094;RCID_d6f35383-daad-4bac-81b4-11c7d0860774;south;6698;803;LINESTRING (92267.5848005087 432071.1208566755, 92265.23420671362 432071.4218129787, 92263.27824540633 432071.7118851115, 92263.63623834211 432068.1218804924, 92265.59216138968 432067.8332239711, 92267.94235373553 432067.5320848924, 92267.5848005087 432071.1208566755);15.243980707415826;0.0;1.0
ID_0599100000658101;RCID_abbbfcfa-fb51-4e66-aa41-bcd6842a039c;south;6699;805;LINESTRING (92263.99730542669 432064.4820625796, 92262.04138236388 432064.7707190845, 92259.6530123433 432065.0686399338, 92260.01121675695 432061.4793221068, 92262.39918373429 432061.1812114459, 92264.35536230315 432060.8924497957, 92263.99730542669 432064.4820625796);15.383456708611888;0.0;1.0
ID_0599100000658101;RCID_abbbfcfa-fb51-4e66-aa41-bcd6842a039c;south;6699;807;LINESTRING (92264.71321502233 432057.3024275032, 92262.75703645049 432057.5911891289, 92260.36906946966 432057.8892997636, 92260.7277434642 432054.2952774518, 92263.1153069712 432053.9969757783, 92265.0717414738 432053.7081079682, 92264.71321502233 432057.3024275032);15.40298718741698;0.008433947920925132;1.0
ID_0599100000658076;RCID_0f6550ae-17b0-4353-beef-8e7a623f4304;south;6700;812;LINESTRING (92262.13518499279 432040.0383749593, 92259.74825819305 432040.336896963, 92257.66107672761 432040.7166511813, 92258.02011271048 432037.1206919558, 92260.10714310162 432036.7407633064, 92262.49366643545 432036.4420476893, 92262.13518499279 432040.0383749593);15.84508564468405;0.03548455981157457;1.0
ID_0599100000658081;RCID_6fc32c35-ea76-4b1b-9dab-86f42121063a;south;6701;814;LINESTRING (92258.38019251419 432033.5063213442, 92256.29316210558 432033.8862499734, 92254.3126610294 432034.176122355, 92254.67164733188 432030.579227664, 92256.65230356267 432030.2892351596, 92258.73918296071 432029.9091309607, 92258.38019251419 432033.5063213442);14.390487482796184;0.033001270836271135;1.0
ID_0599100000658081;RCID_6fc32c35-ea76-4b1b-9dab-86f42121063a;south;6701;815;LINESTRING (92258.73925846009 432029.9092188962, 92256.65230356267 432030.2892351596, 92254.67172492466 432030.5791674759, 92255.03076417318 432026.9817427125, 92257.01149803396 432026.6916898051, 92259.09830195294 432026.3114974138, 92258.73925846009 432029.9092188962);14.392564448228608;0.33298686295169977;1.0
ID_0599100000188004;RCID_5eb403e5-28a8-4904-9a49-dd99b7e3eddd;south;6918;740;LINESTRING (91241.62263063327 432213.3093733456, 91239.13359460462 432213.2529182694, 91236.68536128901 432213.7781281786, 91237.04715783664 432210.2249495415, 91239.49591996022 432209.6996190428, 91241.98588029509 432209.7561243868, 91241.62263063327 432213.3093733456);17.376277299754925;0.0024320833225391436;1.0
ID_0599100000188004;RCID_5eb403e5-28a8-4904-9a49-dd99b7e3eddd;south;6920;740;LINESTRING (91231.87096865993 432214.3542746847, 91229.50530136019 432214.4051408303, 91226.60097320846 432214.8564823562, 91226.96146149302 432211.303407494, 91229.86664257053 432210.8519828732, 91232.23276520122 432210.8010959868, 91231.87096865993 432214.3542746847);18.546048171096775;0.0;1.0
ID_0599100000759271;RCID_5cffa989-23e0-4816-9a18-6a583887d31c;south;6845;214;LINESTRING (91365.86056321049 434090.0688639399, 91364.05784290282 434089.2802764137, 91361.57921290143 434088.1202681761, 91361.93729730567 434084.5148540091, 91364.4143839562 434085.7463396451, 91366.21907737452 434086.4625870241, 91365.86056321049 434090.0688639399);15.980841905371353;0.2035060148039791;1.0
